Promotion,Number of Homework,Average Count,Global Average,Average Median,Average Minimum,Average Maximum
2022#,2,42,10.94,11.8,0.0,20.0
2023,4,483.75,11.61,12.36,0.0,20.0
2023#,1,42,11.88,12.56,0.0,20.0
